"year","tmean","tmax","tmin","humidity","precipitation","windspeed","sunshinehours","tmean_anomaly","tmax_anomaly","tmin_anomaly","precipitation_anomaly"
1970,10.4755865099651,44.9,-46.4,75.8683644189383,2.80127356787191,2.74901429959739,6.37261215286509,-0.834561906165654,-0.502173913043478,-0.413043478260867,0.235255100007905
1971,10.6992901007821,44,-46.9,68.701296803653,2.50778621909027,2.75756507900421,6.64976365331458,-0.610858315348571,-1.40217391304348,-0.913043478260867,-0.0582322487737321
1972,10.6538219375462,44.4,-47.4,70.626780799251,2.58287227239007,2.79311689412563,6.38343943355474,-0.656326478584555,-1.00217391304348,-1.41304347826087,0.0168538045260602
1973,11.0381082941795,46.6,-43.9,69.097747842051,3.04532099806588,2.76139020079157,6.37528473066019,-0.272040121951258,1.19782608695652,2.08695652173913,0.479302530201877
1974,10.5063762430472,46,-46.5,68.2992146280559,2.67515272771703,2.76742611953828,6.34018022675774,-0.803772173083523,0.597826086956523,-0.513043478260869,0.109134259853021
1975,11.0522422236238,47.4,-44.5,69.6149801148917,2.87018553521687,2.66898963803432,6.25405308363557,-0.257906192506926,1.99782608695652,1.48695652173913,0.304167067352866
1976,10.2575968464863,44,-48.5,69.470284568625,2.57504458309126,2.71954421382087,6.25084828914616,-1.0525515696444,-1.40217391304348,-2.51304347826087,0.00902611522725749
1977,10.7502214704031,46.1,-45.5,71.9059920875104,2.63972395662175,2.66063765791057,6.40197625116268,-0.559926945727581,0.697826086956525,0.486956521739131,0.0737054887577488
1978,10.9844494306524,44.7,-48.1,67.4637576242376,2.45095942682818,2.63684717910973,6.64999116401989,-0.325698985478336,-0.702173913043474,-2.11304347826087,-0.115059041035827
1979,10.9779838016198,43.8,-49.6,66.2141105889411,2.51631695431574,2.6437580998704,6.48677898710792,-0.332164614510878,-1.60217391304348,-3.61304347826087,-0.0497015135482659
1980,10.678469546488,45.5,-49.2,71.6291013521599,2.63603600216201,2.60506059469766,6.40183176823177,-0.631678869642743,0.0978260869565233,-3.21304347826087,0.0700175342980041
1981,10.8046060140079,45.2,-48.1,67.3546506273051,2.61671966582307,2.58831386779455,6.30258676698243,-0.50554240212286,-0.202173913043474,-2.11304347826087,0.0507011979590661
1982,11.0566744326863,44.3,-47.4,69.5734621291407,2.58245890394759,2.51431550830021,6.1416461107049,-0.253473983444463,-1.10217391304348,-1.41304347826087,0.016440436083581
1983,10.9262340783466,45.1,-44.8,67.4961667868301,2.86303752250094,2.50167196080866,6.20179797371853,-0.383914337784166,-0.302173913043475,1.18695652173913,0.297019054636936
1984,10.3562063738981,42.2,-46.3,66.4248893143473,2.5827726329049,2.50772026119805,6.09811616891779,-0.953942042232589,-3.20217391304347,-0.313043478260866,0.0167541650408909
1985,10.565062745585,44.1,-46.7,67.546322999279,2.67372606319457,2.44276386680179,6.05637894584826,-0.745085670545738,-1.30217391304348,-0.713043478260872,0.107707595330566
1986,10.7619530561564,47.7,-45.2,66.2483257229833,2.38439711023072,2.41810589758078,6.43151191273217,-0.548195359974345,2.29782608695653,0.786956521739128,-0.181621357633289
1987,11.1529429174799,44.5,-47.1,66.9024497550245,2.59871148046007,2.50857259458421,6.282651562156,-0.157205498650795,-0.902173913043477,-1.11304347826087,0.0326930125960616
1988,11.0323084402259,44.8,-44.1,67.2336882456546,2.43689482470785,2.42094269008645,6.20180020658108,-0.277839975904858,-0.60217391304348,1.88695652173913,-0.12912364315616
1989,11.1768719992644,42.9,-44.9,67.9071905719437,2.50608424049496,2.32702735119964,6.00867802660435,-0.133276416866286,-2.50217391304348,1.08695652173913,-0.0599342273690469
1990,11.5475696290581,45.9,-47.6,68.5358369278864,2.74030931513366,2.32332732007216,6.12429208285312,0.237421212927396,0.497826086956522,-1.61304347826087,0.174290847269656
1991,11.1727291908009,45.1,-44.3,66.8349601910828,2.47345670015759,2.30348806191798,6.08109934687925,-0.137419225329799,-0.302173913043475,1.68695652173913,-0.0925617677064179
1992,10.8514622838258,45.4,-40.4,66.7625302301704,2.4317864750464,2.29607451442875,6.11942110102425,-0.458686132304875,-0.00217391304347814,5.58695652173913,-0.134231992817607
1993,10.8642383437268,42.5,-43.9,67.4342991696016,2.62596715018436,2.32274846100402,6.01339359013244,-0.445910072403942,-2.90217391304348,2.08695652173913,0.0599486823203561
1994,11.5708251505233,44.4,-48.1,66.8903947953287,2.64097823091761,2.32165068435026,6.13010295833063,0.260676734392577,-1.00217391304348,-2.11304347826087,0.0749597630536019
1995,11.275537867222,45.7,-42.4,66.881748972851,2.55161825499196,2.30929367879989,6.23252488717009,-0.0346105489086934,0.297826086956526,3.58695652173913,-0.01440021287205
1996,10.9350902205212,44.7,-46.5,65.6844322535562,2.52933242018659,2.32155646055232,6.07324982288916,-0.375058195609515,-0.702173913043474,-0.513043478260869,-0.0366860476774153
1997,11.450375721845,46.3,-45.7,65.7086605294738,2.50471429613953,2.24176782851757,6.25650182780687,0.140227305714307,0.89782608695652,0.286956521739128,-0.0613041717244722
1998,12.1787335332721,44.9,-47.5,67.7513997670078,2.813722495281,2.23876136803406,6.06675915716519,0.868585117141345,-0.502173913043478,-1.51304347826087,0.247704027416991
1999,11.8517866158301,46.2,-43.3,65.3679117257423,2.4728808017692,2.2295500626035,6.19050740736244,0.541638199699422,0.797826086956526,2.68695652173913,-0.0931376660948073
2000,11.3578547549039,47.7,-45.1,66.6480605792081,2.49842691918594,2.20432437657844,6.12043331409824,0.0477063387732173,2.29782608695653,0.88695652173913,-0.0675915486780698
2001,11.6945922075199,47,-49.6,65.3222131256629,2.44543911944721,2.21397378503731,6.21385845736061,0.384443791389135,1.59782608695652,-3.61304347826087,-0.120579348416799
2002,11.8972611148579,44.9,-44,66.6030457590773,2.60903780832354,2.17133147290328,6.11126871137838,0.587112698727189,-0.502173913043478,1.98695652173913,0.0430193404595398
2003,11.6910530227148,43.2,-45.6,66.6599768974765,2.40599012879614,2.19270065917022,6.04006660030913,0.380904606584071,-2.20217391304347,0.38695652173913,-0.160028339067868
2004,11.8000140583139,46.2,-45.6,69.3485634653537,2.28884511193074,2.23326691866748,6.32179725841936,0.489865642183169,0.797826086956526,0.38695652173913,-0.27717335593326
2005,11.5548539095065,45.4,-42.6,65.276375029196,2.48714960658374,2.24289579408122,6.06708191236605,0.244705493375736,-0.00217391304347814,3.38695652173913,-0.078868861280267
2006,12.0646096555393,47.7,-46.3,65.6578798894164,2.369866834623,2.20712622396587,6.09083641980301,0.754461239408583,2.29782608695653,-0.313043478260866,-0.196151633241006
2007,12.2835376200721,46.3,-41.8,65.0923955654371,2.33691911829206,2.13977694744229,6.065578186322,0.973389203941402,0.89782608695652,4.18695652173913,-0.22909934957195
2008,11.7036450007369,47.8,-46.4,65.0865700745981,2.49895033185887,2.13215245467293,6.02363309815928,0.39349658460622,2.39782608695652,-0.413043478260867,-0.0670681360051355
2009,11.8739522423115,44.7,-47.5,63.7100497861357,2.27480620680003,2.18966327233874,6.16314900543087,0.563803826180832,-0.702173913043474,-1.51304347826087,-0.291212261063974
2010,11.6138253994131,47.6,-46.5,65.8403641832164,2.70919933768,2.20488711537913,6.00047666546751,0.30367698328239,2.19782608695652,-0.513043478260869,0.143180869815991
2011,11.9070131895263,47.8,-49.6,64.6196983609966,2.18216310281532,2.11005883321347,6.09686951535267,0.596864773395628,2.39782608695652,-3.61304347826087,-0.383855365048682
2012,11.7253434204613,45.7,-46.9,67.5763561877593,2.78559166571494,2.07961977409227,5.71311351492246,0.415195004330563,0.297826086956526,-0.913043478260867,0.219573197850933
2013,12.4813190078866,44.9,-46.1,68.6299835093964,2.5733308958212,2.11955715097631,6.13458176258828,1.1711705917559,-0.502173913043478,-0.11304347826087,0.00731242795719922
2014,12.3412929555257,44.8,-45.1,68.7702634664688,2.50665943225159,2.10993930071506,5.85758474337608,1.03114453939495,-0.60217391304348,0.88695652173913,-0.0593590356124172
2015,12.6713045636541,47.5,-45.9,71.691945727954,2.73423307417642,2.16317583354847,5.6937442159341,1.36115614752334,2.09782608695652,0.0869565217391326,0.168214606312413
