temp,tmax,coef,se,star,group
2.5,（-∞，5],-0.566,0.422,,Q1
7.5,（5，10],-0.785,0.442,,Q1
12.5,（10，15],-0.451,0.329,,Q1
17.5,（15，20],-0.13,0.204,,Q1
22.5,（20，25],0,0,,Q1
27.5,（25，30],-0.0991,0.154,,Q1
32.5,（30，35],-0.551,0.355,,Q1
37.5,（35，+∞),-2.604,0.552,***,Q1
2.5,（-∞，5],0.572,0.468,,Q2
7.5,（5，10],-0.275,0.333,,Q2
12.5,（10，15],-0.401,0.26,,Q2
17.5,（15，20],0.0367,0.376,,Q2
22.5,（20，25],0,0,,Q2
27.5,（25，30],-0.0563,0.0887,,Q2
32.5,（30，35],-1.02,0.161,***,Q2
37.5,（35，+∞),-2.781,0.451,***,Q2
2.5,（-∞，5],-1.63,0.75,**,Q3
7.5,（5，10],-1.566,0.375,***,Q3
12.5,（10，15],-0.866,0.342,**,Q3
17.5,（15，20],-0.309,0.197,,Q3
22.5,（20，25],0,0,,Q3
27.5,（25，30],-0.103,0.15,,Q3
32.5,（30，35],-0.955,0.204,***,Q3
37.5,（35，+∞),-2.572,0.378,***,Q3
2.5,（-∞，5],0.0952,0.843,,Q4
7.5,（5，10],-0.704,0.698,,Q4
12.5,（10，15],-0.665,0.387,,Q4
17.5,（15，20],-0.141,0.23,,Q4
22.5,（20，25],0,0,,Q4
27.5,（25，30],0.23,0.152,,Q4
32.5,（30，35],-0.5,0.195,**,Q4
37.5,（35，+∞),-1.663,0.405,***,Q4
