temp,variables,coef,se,star,,,,,,
1.5,"(-Inf, 3]",-0.67,0.473,,,,,,,
4.5,"(3, 6]",-0.819,0.394,*,,,,,,
7.5,"(6, 9]",-0.468,0.304,,,,,,,
10.5,"(9, 12]",-0.728,0.169,***,,,,,,
13.5,"(12, 15]",-0.367,0.225,,,,,,,
16.5,"(15, 18]",-0.183,0.187,,,,,,,
19.5,"(18, 21]",0,0,,,,,,,
22.5,"(21, 24]",0.0231,0.142,,,,,,,
25.5,"(24, 27]",0.0188,0.167,,,,,,,
28.5,"(27, 30]",-0.286,0.252,,,,,,,
31.5,"(30, 33]",-0.812,0.329,**,,,,,,
34.5,"(33, 36]",-1.859,0.36,***,,,,,,
37.5,"(36, Inf)",-3.864,0.535,***,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
