temp,variables,coef,se,star,group
2.5,£¨-¡Þ£¬5],0.0523,0.716,,Spring
7.5,£¨5£¬10],-0.173,0.365,,Spring
12.5,£¨10£¬15],-0.0625,0.21,,Spring
17.5,£¨15£¬20],0.121,0.142,,Spring
22.5,£¨20£¬25],0,0,-,Spring
27.5,£¨25£¬30],-0.297,0.0966,***,Spring
32.5,£¨30£¬35],-1.073,0.232,***,Spring
37.5,£¨35£¬+¡Þ),-3.826,0.616,***,Spring
17.5,£¨-¡Þ£¬20],0.259,0.301,,Summer
22.5,£¨20£¬25],0,0,-,Summer
27.5,£¨25£¬30],-0.0139,0.141,,Summer
32.5,£¨30£¬35],-0.79,0.213,***,Summer
37.5,£¨35£¬+¡Þ),-2.201,0.197,***,Summer
2.5,£¨-¡Þ£¬5],-1.283,0.488,**,Fall
7.5,£¨5£¬10],-0.629,0.366,*,Fall
12.5,£¨10£¬15],-0.531,0.273,*,Fall
17.5,£¨15£¬20],-0.298,0.161,*,Fall
22.5,£¨20£¬25],0,0,-,Fall
27.5,£¨25£¬30],0.095,0.188,,Fall
32.5,£¨30£¬35],-0.134,0.21,,Fall
37.5,£¨35£¬+¡Þ),-0.879,0.455,*,Fall
2.5,£¨-¡Þ£¬5],-1.929,0.519,***,Winter
7.5,£¨5£¬10],-2.426,0.404,***,Winter
12.5,£¨10£¬15],-1.98,0.385,***,Winter
17.5,£¨15£¬20],-0.892,0.253,***,Winter
22.5,£¨20£¬25],0,0,-,Winter
27.5,£¨25£¬30],1.893,0.661,***,Winter
