temp,variables,coef,se,star,,,,,,,,,,,,
1.5,"(-Inf, 3]",-0.269,0.422,,,,,,,,,,,,,
4.5,"(3, 6]",-0.767,0.35,**,,,,,,,,,,,,
7.5,"(6, 9]",-0.721,0.31,**,,,,,,,,,,,,
10.5,"(9, 12]",-0.756,0.217,***,,,,,,,,,,,,
13.5,"(12, 15]",-0.432,0.158,**,,,,,,,,,,,,
16.5,"(15, 18]",-0.185,0.125,,,,,,,,,,,,,
19.5,"(18, 21]",0,0,,,,,,,,,,,,,
22.5,"(21, 24]",-0.0504,0.083,,,,,,,,,,,,,
25.5,"(24, 27]",-0.018,0.111,,,,,,,,,,,,,
28.5,"(27, 30]",-0.339,0.14,**,,,,,,,,,,,,
31.5,"(30, 33]",-0.896,0.169,***,,,,,,,,,,,,
34.5,"(33, 36]",-1.907,0.196,***,,,,,,,,,,,,
37.5,"(36, Inf)",-3.541,0.37,***,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
